,rgi_id,period,PDD,area,icecap,lat,prcp_01,prcp_02,prcp_03,prcp_04,prcp_05,prcp_06,prcp_07,prcp_08,prcp_09,prcp_10,prcp_11,prcp_12,rain,slope,snow,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,zmax,zmed,zmin,period_min,period_max
4106,RGI60-08.02054,2000-2010,34.22526643643379,0.366,0.0,62.38099999999999,99.4014214,107.8304497,108.976626,118.4035671,81.8344743,74.9663101,56.9350834,62.1484468,71.0091483,101.1279869,105.0520108,94.1404985,505.525664,18.1,576.300354,-1.1481481713,-5.57740738,-8.24851844,-8.494073,-9.17259169,-7.947778049999999,-3.36222256,1.505555443,5.34666655,8.14444398,7.544445,3.2248149400000004,1866.0,1703.0,1558.0,2000,2010
2658,RGI60-08.01330,2000-2010,35.27161545257569,0.14,0.0,61.53099999999999,112.0861369,110.9284659,109.9009968,118.9658619,75.5342101,70.4907201,48.7712074,60.5006255,65.5046055,88.9046982,99.8640251,95.7620507,493.376946,34.5,563.836667,-0.8162962549999999,-5.55111111,-8.42888943,-8.78592603,-9.18037114,-7.34444438,-2.61148148,1.964443917,6.08518585,8.78370335,8.028889359999999,3.74222256,1736.0,1593.0,1488.0,2000,2010
4924,RGI60-08.02463,2000-2010,66.3690528752327,0.079,0.0,68.351,89.7244076,80.8329423,82.4905961,83.4614681,75.50924330000001,52.2132511,51.5134399,63.6892605,68.6769546,78.4280081,89.8285793,110.807515,618.667508,27.8,308.508163,-0.092592816,-4.32333266,-7.216666170000001,-8.96703749,-9.82296317,-8.13962994,-2.48148128,2.46962971,7.60851991,11.5625922,10.11037025,4.95999964,1453.0,1347.0,1256.0,2000,2010
383,RGI60-08.00192,2010-2020,29.082266586399083,0.582,0.0,68.065,47.5738148,45.6644987,54.9422003,41.5809335,39.5897112,51.657681,44.235867,46.2936959,71.5963909,82.75246899999999,72.9307677,45.9248177,298.138702,18.3,346.60415,-3.8500003,-8.78222145,-12.7455551,-16.2055564,-14.59555545,-12.1866667,-6.41555582,-0.281111126,4.65222178,8.665555399999999,6.83888929,2.74000017,1638.0,1412.0,1331.0,2010,2020
1563,RGI60-08.00782,2010-2020,84.90555214673282,0.085,0.0,61.3,170.0528266,146.1982605,184.500648,135.6431264,100.6547744,107.3703501,57.8644764,63.47014019999999,83.16805389999999,87.7470273,140.849494,168.122968,1239.537376,19.6,206.104721,3.21111101,-1.1077777026000002,-4.046667019999999,-5.23222191,-4.31222276,-2.352222622,1.405555506,6.184442880000001,9.8766661,12.19111055,11.3999986,7.830001319999999,1415.0,1362.0,1298.0,2010,2020
6195,RGI60-08.03098,2010-2020,30.165569562089445,0.056,0.0,59.91700000000001,135.9324908,113.156609,134.3335481,105.0179494,81.6633695,75.9866717,49.2990748,67.045829,86.8652486,92.1351133,146.969405,138.807706,617.0113779999999,21.3,610.201626,0.602592652,-3.87851857,-6.48185218,-7.99888814,-7.72333349,-6.22036997,-2.94444448,1.4470367434,5.71185084,8.284074050000001,7.94000044,4.67074079,1503.0,1431.0,1391.0,2010,2020
6463,RGI60-08.03232,2010-2020,62.23400026130677,0.516,0.0,65.777,180.8514475,149.2875666,212.869017,141.431536,134.01314580000002,147.6881376,100.9511921,72.1852176,97.4396208,89.78836270000001,118.4224432,155.9552048,1080.570648,26.1,520.3122665,1.3266668569999998,-2.2299998636,-5.2666668,-7.1399997100000006,-6.230000840000001,-4.646667379999999,-1.026666842,3.5766665600000005,7.12333217,10.4100012,9.8600003,6.456666919999999,1358.0,1232.0,1053.0,2010,2020
2879,RGI60-08.01440,2010-2020,39.76791331748963,0.062,0.0,66.764,190.7233454,155.3757564,205.692602,136.49253837999998,130.6640055,153.6223915,115.76965149999998,81.0588706,109.5546219,98.0229044,118.0236634,145.6709085,788.0566120000001,22.9,852.614655,-0.3322221584,-3.5144444120000005,-6.26000035,-8.06555522,-7.334444670000001,-6.31999962,-3.0622219,1.5177780454,4.89555527,8.40111208,7.883333519999999,4.68000082,1370.0,1328.0,1242.0,2010,2020
2359,RGI60-08.01180,2010-2020,58.83566772651672,0.164,0.0,61.872,149.216654,132.8937874,178.60972139999998,128.084938,99.6255732,115.653721,67.9093919,61.3394648,78.95764510000001,90.2513275,126.7077661,142.7706216,944.33924,17.4,427.681384,1.151111089,-3.00777785,-5.892222510000001,-7.066666499999999,-6.23444418,-4.43555558,-1.109999776,3.49000032,6.93000058,9.5133336,8.93888835,5.45777805,1729.0,1689.0,1568.0,2010,2020
1494,RGI60-08.00748,2000-2010,37.97177805864811,0.222,0.0,69.331,57.0411368,53.80700890000001,58.2353792,59.4517579,56.611134500000006,40.9086334,41.6326267,52.6376054,56.5285554,75.0732842,67.9095714,67.0025083,351.180153,26.0,335.659041,-0.935556031,-5.935555979999999,-9.02777853,-10.18555733,-10.7855537,-8.99999995,-3.73888967,1.325555473,6.1611113,10.1288891,8.71000003,4.033333369999999,1137.0,972.0,845.0,2000,2010
5353,RGI60-08.02677,2010-2020,83.38271318278314,0.23,0.0,61.746,311.37111300000004,272.4356155,336.520372,231.433508,190.5260915,217.4715975,138.968297,118.1788525,145.645589,162.223865,239.628253,301.22976600000004,2589.8609100000003,17.8,75.7720415,5.15,2.1100000100000003,-0.3633333510000001,-1.191111079,-0.93666676,-0.1155556884999999,2.01444412,5.342223519999999,8.253333999999999,10.7744441,10.864445,8.543333610000001,1282.0,1113.0,1059.0,2010,2020
313,RGI60-08.00157,2010-2020,41.56122144067287,1.805,0.0,67.278,44.319281,46.355307200000006,53.33392680000001,38.1743808,35.35744044,47.9229017,44.0901575,47.1837108,74.83729600000001,87.2668013,76.9840735,48.3911595,359.401342,15.3,284.81509500000004,-2.5977783600000004,-8.15666815,-12.64444255,-15.964446999999998,-14.3988892,-11.29999902,-5.39666633,0.93000042182,6.08111105,9.83777735,8.208888179999999,4.10666676,1702.0,1477.0,1239.0,2010,2020
2171,RGI60-08.01086,2010-2020,94.9346001448393,0.713,0.0,61.73100000000001,212.961885,187.1745466,249.58882,173.5378364,138.0454096,154.7136476,89.6033457,78.15711590000001,100.8313698,111.902914,165.8279584,210.093046,1754.6453399999998,8.9,117.792513,3.3666669,-0.4533333425999999,-3.110000109,-4.11333366,-3.4811108473,-1.9433331366,0.974444423,5.37000041,8.5577767,10.9999996,10.5477778,7.34777862,1720.0,1642.0,1436.0,2010,2020
3887,RGI60-08.01944,2010-2020,50.80088826990128,0.057,0.0,68.764,82.8935703,68.7243798,86.6871012,61.9699616,64.0296444,71.88299070000001,54.9672793,44.6858521,68.8916783,70.6668159,72.880898,59.3333808,432.987036,27.8,374.626514,-1.093333777,-4.79222219,-8.041112,-11.3455555,-9.9566659,-8.16888848,-3.2177777300000003,2.15333328,6.39222301,10.5255554,8.927777129999999,5.06555563,1270.0,1225.0,1091.0,2010,2020
4587,RGI60-08.02294,2010-2020,50.41248793396949,0.149,0.0,67.717,104.7037643,86.643559,109.443374,74.57311095,78.69358694,98.4945137,71.48021109999999,53.7856619,78.4677844,81.9264864,78.55062860000001,70.8418734,520.359069,13.3,467.2454770000001,-0.209999877,-4.29444451,-7.84666737,-10.51777835,-9.60333371,-7.415555729999999,-2.74111141,2.593333363,6.68222174,10.4711109,9.3577778,5.79444432,1249.0,1210.0,1157.0,2010,2020
520,RGI60-08.00261,2000-2010,59.25266743028165,0.949,0.0,68.374,76.7073115,71.4115894,73.7671696,75.5427866,67.7266635,47.886019700000006,47.5953857,58.9073364,64.5500042,76.3129758,84.25949940000001,93.2979968,514.292305,17.4,323.672423,-1.191111414,-5.71888815,-8.70333432,-10.5655553,-11.41333325,-9.6344447,-3.78222294,1.2755555581,6.714445620000001,10.761111,9.2155562,3.9577776,1575.0,1524.0,1210.0,2000,2010
2068,RGI60-08.01035,2000-2010,33.632267111396786,0.079,0.0,68.077,64.1738229,66.28256400000001,68.0745651,68.06414509999999,58.9181724,45.3631407,47.1992206,65.8320314,70.7944119,86.5863473,87.4693809,89.8491972,416.908381,10.2,401.698626,-2.641851986,-7.41851758,-10.68296235,-12.3974083,-13.3103704,-11.4607412,-5.56036984,-0.250740722,5.38851934,9.27222225,7.834073860000001,2.6940739,1402.0,1370.0,1316.0,2000,2010
394,RGI60-08.00198,2000-2010,38.116799108076094,0.172,0.0,68.205,46.539185200000006,48.621549,50.1501235,52.19825590000001,44.7496361,35.4350552,37.9599144,53.5610343,60.7484243,79.8422613,75.6053409,66.36386159999999,357.885323,25.3,293.889308,-2.780000504,-7.99666543,-11.42333351,-13.063332399999998,-13.603332599999998,-11.54999988,-5.39666611,0.0966666940299999,5.71666669,9.5499994,7.79666643,2.54000015,1526.0,1431.0,1222.0,2000,2010
3272,RGI60-08.01637,2000-2010,40.160691328454014,1.837,0.0,66.644,210.583094,237.2995126,236.601083,232.4823526,178.594766,142.714154,112.3032551,123.2999304,117.7278484,112.7982289,151.015676,252.150864,1105.69491,7.5,1001.87588,0.908888958,-2.1244444380000003,-4.55444486,-4.516667180000001,-5.94111163,-5.4555557,-1.395555644,2.435555791,5.99999994,9.3300006,8.886667769999999,4.96777823,1158.0,1054.0,911.0,2000,2010
