,dmdtda
73,-0.5139
1841,-0.8309
3497,-0.0445
5868,-0.4404
6263,-0.0209
4579,-0.8307
1416,-0.4716
833,-0.1457
4236,-0.9351
622,-0.6006
1642,-0.2934
5996,-0.5645
3421,-0.1949
4484,-0.7664
468,-0.1398
1486,-0.4587719762258563
2096,-0.8785000000000001
3129,-0.3237
2476,-0.6888
4230,0.3068
1834,-0.6855
4009,-0.1927
64,-0.7392
3380,-1.1151
2113,-0.1202
4821,-0.9936
6661,0.2073999999999999
897,-0.8219
2276,-0.3474
6129,-0.7828
2437,-0.0551
4128,-0.4803
3707,-0.2495
5488,-0.8674
454,-0.5841
6459,-0.2859
1222,0.1313
5967,-0.6518
5179,-0.2063
4542,-0.0367
4267,-1.1003
3876,0.0657
2051,-0.2808
2398,-0.242
4178,0.1553
5454,-0.8454
2809,0.1318
3642,-0.0719
2227,-0.1436
2569,-0.0318
4235,-0.3626
3645,0.1101
3281,-0.5302
5383,-0.3519
3153,-0.3328
750,-0.7235
6445,-0.6948
3791,-0.2481
2415,-0.0558999999999999
286,-0.3871
2450,-0.0533
235,-0.353
17,-0.3424
4859,-0.075
1583,-0.2361
2065,-0.3092
1303,-0.1964
2600,-0.1336
3859,-0.4419
829,-0.1052999999999999
3072,-0.6457
1125,-0.0583
3594,-0.3932
1613,0.1008
3073,-0.4361
3291,-0.3378
6068,-0.3994
5060,-0.3414
2069,-0.183
6647,-0.1959
3919,-0.9360000000000002
6167,-0.6338
3086,-1.1106
150,-0.9642
3215,-0.1559
3988,-0.2473
4928,-0.4772
5152,-0.3789
5157,-1.3729
3389,0.0069
3762,0.5936
6042,-0.3136
5121,-0.3852
4790,-0.9808
6428,-0.1492
3378,-0.7835
1469,-0.7421
5661,-0.3562499554234775
5653,-1.2176
2335,-0.6537
3101,-0.5118
883,-0.4482
6719,-0.7615
5440,-0.557
1959,-0.299
3926,-0.534
714,-0.897
3366,-0.4823
403,-0.3018
6017,-0.3769
369,-0.8568
2089,-0.4545
6114,-0.8191
256,-0.442
253,-0.6349
5027,-0.3999
5774,-0.3096
1726,-0.6169
3565,-0.8923
5013,-0.578
6551,-0.2453
1872,-0.0788
1031,-0.4229999999999999
1208,-0.8612
5939,-0.5365
3567,0.0499
725,0.0251
1435,-0.3454
1476,-0.8522000000000001
691,-0.3064
5711,-0.3292
5347,-0.1959
6184,-0.6529
4883,-0.2678
2531,0.2921
5450,-1.3049
5836,-0.4842000000000001
3812,-0.5842
6516,-0.3233
6605,-0.0452
2874,0.508
3671,-0.8981
4161,0.058
1988,-0.1416
766,-0.7403
5873,-0.2985
2074,0.1538
6130,0.1039
886,-0.9511
1626,-0.3128
1086,-0.7814
1427,-0.3597
3085,-0.3607
5845,0.0226
3132,-0.5779
5391,-0.4335
4538,-0.2338
3115,-0.3828
6486,-0.6343
1792,-0.6181
1919,-1.0424
6367,-0.013
6756,0.1324
5259,-0.0285
5283,0.1413
3198,-0.3106
2770,-0.1915
3750,-0.3254
1144,-0.3537
4325,0.1641
3381,-0.1381
45,0.454
5698,-0.4885
5200,0.5948
2226,-0.8202
1463,-0.0852
1977,-0.6058
3656,0.0541
429,-0.8218
3834,-0.0766
1166,-0.145
3350,-0.5399
4984,-0.5207
431,-0.5647
6402,-0.5606
525,-0.9495
1167,-0.1289
328,-0.3159
747,0.2353
5502,-0.2162
186,-0.5308
2790,0.1086999999999999
1212,-1.2077
4105,0.0334
3099,0.1321
1992,-0.5407
6546,-0.0475
1779,-0.4211999999999999
3288,-0.9886
5209,-0.5056
438,-0.8282
6580,-0.6152
5528,-0.7597
5168,0.1691
1644,-0.2407
4698,-0.0317
1473,-0.3613
4279,-0.6255
3661,-0.6347
4429,-0.8882999999999999
1730,-0.7939
3367,0.2432
858,-0.3261
3659,-0.9661
2136,-0.6847
5803,-0.3562499554234775
5767,-1.2008
4777,0.0854
4281,-0.0346
5062,-0.4544
2134,-3.0829
3465,-0.0881
5414,-0.8041
4272,0.0613999999999999
2999,0.2454
1297,-0.1164
3576,-0.2436999999999999
1521,-0.0671
4137,-0.1313
6362,0.0264
130,-1.0818
5997,-0.5828
6225,-0.4317
5934,-0.7417
2971,-1.0789
6572,-1.2217
6469,-1.1259
2613,-0.391
4898,-0.5778
1647,-0.7449
4978,-1.3627
4125,-0.0312
5723,-0.0516
6623,-0.0299
6710,0.1233
6181,-0.5635
6532,-0.1265
1085,-0.2486
135,-0.4381
1066,-0.5751
660,-0.7134
3715,0.397
2668,-1.4468
5286,-0.2998
1889,-0.3562499554234775
3942,-0.3995
3220,-0.5906
4560,-0.1202
2714,-0.3046
4558,-0.0565
3783,-0.3591
918,-0.1646
279,-0.2266
5892,-0.638
4573,0.0212
3748,-0.0154
559,-0.4013
5950,-0.2314
2967,-0.7522
4747,-0.8141999999999999
868,-0.8006
1523,-0.0964
2352,-0.3666
2184,-0.4009999999999999
2589,0.096
11,-0.4313
6044,-0.4587719762258563
4709,-0.5367
1698,-0.0958
5617,-0.8439
686,-0.1015
1314,-0.7731
6246,-0.1306
916,-0.1781
4598,-0.3891
5694,-0.2827
773,-0.2328
654,-0.4741000000000001
5830,-0.6009
4362,-1.1325
4985,-0.668
4400,-0.2049
1627,-0.6402
2201,-0.8434000000000001
5594,-0.5223
2642,-0.923
4223,-0.1974
2195,0.0176
4730,0.062
4333,-0.3562499554234775
5338,-0.1904
6352,-0.4198
3673,-1.1153
5685,-0.7445
4872,-0.0741
6369,-0.8617000000000001
2745,0.044
2577,-1.2836
880,-1.3709
4444,-0.1558
1740,-0.6916
1653,-0.8916000000000001
5944,-0.7005
5900,-0.5428
2305,-0.428
2743,-0.3037
855,-0.3562499554234775
864,-0.73
1401,0.0426
532,-0.5728
5078,-1.2845
2361,-0.0493
3035,-0.1052999999999999
5201,-0.1432
6300,0.0873
5170,-0.4173
2528,-0.851
6242,-0.3664
4501,-0.5171
6105,-0.898
6642,-0.653
1947,-0.4328999999999999
2707,0.3842
811,-0.3339
1158,-0.0245
5650,-1.2266
4064,-0.269
5643,-0.5363
6186,-0.2907
2277,-0.5175
4433,-0.1735
5203,-0.2166
2142,-0.8727
3831,-0.324
3958,-0.2472
3840,-0.2917
6282,-0.0596999999999999
3697,-0.491
5554,-0.7624
510,-0.2025
124,-0.3209
6191,-0.724
4043,0.5459
5679,-0.4838
2847,-1.031
3323,-0.2508
925,-0.6108
3194,-0.77
4013,-0.0546999999999999
2708,-0.7228
439,-0.7923
4964,-1.1926
5574,-0.7677
6447,-0.9785
6413,-0.9037
4706,-0.5564
5083,0.1275
72,-0.59
6111,-0.9584
5238,-0.603
428,-0.4939999999999999
2414,-0.6645
2417,-0.3683
250,-1.117
4345,-0.3606
2906,-0.4587719762258563
528,-0.1576
1645,-0.2029
4881,-0.7218
2898,-0.5136
3055,-0.3044
5987,-0.2979
1193,-0.0987
320,-1.4621
3448,-0.2306
842,-0.4699999999999999
4751,-0.546
515,-0.5413
5158,-0.1625
4756,-0.319
2202,-0.8564
1168,-1.1819
1638,-0.0358
5604,-0.4587719762258563
1121,0.3156
4455,-0.3449
3635,0.2496
4217,-0.1082
6631,-0.7597
1522,-0.4995999999999999
6618,-0.4587719762258563
3672,-0.1873
5008,-0.5725
5770,-0.4587719762258563
183,-0.2306
1558,-0.5354
5697,0.3597
4498,-0.0213
3250,-0.6002
1310,-0.231
475,-0.7042
6730,-0.4587719762258563
2464,-0.6721
5583,-0.1024
6086,-0.4408
6201,-0.2574
3637,-0.0304
1487,-0.3562499554234775
2007,-0.133
1381,-0.0776
5191,-1.0192
5105,-1.1648
4310,-0.3709
705,-0.7554
4085,-0.3645
367,-1.0446
2638,-0.7276
1655,-0.3665
3607,-0.5873
2325,-0.0891
4547,-0.3978
5566,-0.4549
2279,-0.0024
485,-0.7256
3863,-0.866
3320,-0.1101
4720,-0.2872
368,-2.1223
6818,-0.2277
266,-0.9102
5848,-0.6681
4391,-0.3098
4403,-0.4543
1184,-0.5653
6798,0.3024
848,-0.45
2390,-0.0624
1964,-0.5679
1098,-0.5436
5274,-0.5505
6077,-0.3657
967,0.0697
2420,-0.2233
4991,0.0349
5499,-0.6041
5366,-0.5504
840,-0.7637
4623,0.1637
2938,-0.0033
2675,-0.6712
1257,-0.4474999999999999
6107,-1.4008
1450,-0.6693
666,-0.9309
6175,-0.386
5369,-0.5228
6356,-0.4041
1060,-0.6095
1612,-0.0281999999999999
1153,-1.0075
1850,-0.9898
5640,-0.8126
417,-0.5762
4197,0.0004
4027,-0.4801
179,-0.7472
2869,-0.1622
6563,-1.0031
4328,-0.5822
5266,-0.2779
226,-0.6669
5110,-1.1312
6420,0.2742
199,-0.4119
2048,-0.2294
5761,-0.048
6403,-0.3776
58,-0.5186
2637,-0.1717
3509,-0.4192999999999999
2921,-1.0221
5424,-0.4587719762258563
4275,-0.7618
5405,-0.5794
5312,-1.5315
3554,-0.615
5212,-0.4798999999999999
4660,-0.5336
4446,-0.4025
1902,-0.7407
624,-0.6652
4094,-0.6965
5375,-0.2826
4524,-0.9116
1761,-0.7334
2558,-0.9036
3373,-0.1882
3442,-0.0475
2006,-0.4997
3170,-0.4349999999999999
465,-0.4825
3774,-0.4223
4608,-0.7697
2453,-0.6838
2363,-0.5079
4464,-0.6092
4673,0.2490999999999999
5724,-0.4587719762258563
4364,-0.4236
327,0.0152
1733,-0.2607
2652,-0.5935
5933,-0.6829
5303,-0.124
1654,-0.7057
3606,-0.5925
5887,-0.0424
3759,-0.0186
2688,-0.7464
