,dmdtda
1397,-0.2566
4179,-0.1677
4480,-0.4384
49,-0.1722
5817,-0.2061
4762,-0.6358
2124,-0.6572
6498,0.1335
2842,0.0063
4220,-0.3474
3487,-0.2451
3994,-0.5241
5276,-0.6404
2924,0.1474
4124,-0.2999
4074,-0.2367
967,0.0697
6781,-0.8089999999999999
5160,-0.8186
6272,-0.6221
3651,-0.7828
256,-0.442
4733,0.09
3471,-1.014
2904,-0.5472
6011,-0.7468
5097,-0.7514
1486,-0.4587719762258563
585,-0.4557
6537,-0.2873
1470,-0.631
4295,-0.5423
5423,-0.2777
2108,-0.6248
849,-0.0054
2969,-1.0369
400,-0.8145
2530,-0.5243
988,-0.4505
1540,-0.8123000000000001
2026,-0.586
5711,-0.3292
1174,-1.3912
6424,-0.4088999999999999
2837,-0.0847
4902,-0.256
5808,-0.4325
4033,-0.8993
6128,-0.5419
5537,-0.3649
529,-0.6795
279,-0.2266
3515,-0.0357
516,-0.9659
2002,-0.2349
5502,-0.2162
6254,-0.2515
93,-0.3399
5293,-0.3619
318,-0.0721
6653,-0.2274999999999999
3726,-0.2436999999999999
5229,0.1155
1943,-0.6742
3233,-0.0276
950,-1.2883
5917,-0.1109
2908,-0.0687
4394,-1.0154
3200,-0.3868
372,-1.1346
2661,-0.0907
5856,-0.3687
2381,-0.8111
2743,-0.3037
3698,-0.3865
2025,-0.663
6143,-0.7216
5169,-0.836
728,-0.6573
1615,-0.1861
5525,-1.1902
499,0.1119
2932,-0.3269
1452,-0.4208999999999999
3080,0.3157
5753,0.0903
1535,-0.818
5100,-0.9428
5666,-0.6891
5284,-0.6064
684,-0.0689
4883,-0.2678
5394,-0.5921
1503,-0.7703
5868,-0.4404
2156,-0.1004
2555,0.1356
3759,-0.0186
761,-0.4892
3526,-0.3505
3550,-0.6627
6277,-0.5153
3149,-0.1269
5093,-0.5377
5073,-0.31
3285,0.1498
6792,-0.0751
2471,-0.2573
3136,-0.5745
4482,-0.6947
636,-0.3049
6427,-0.7505
3463,-0.2857
2504,-0.5478
937,0.0324
5006,-0.6392
6522,-0.2613
3984,-0.1768
1923,-0.6389
2912,-0.5592
3823,-0.3876
162,-0.0959
3114,0.1985
4949,-0.2343
1185,-0.1548
3312,-0.2977
396,-0.8939
1610,-0.6834
2613,-0.391
2192,-0.6197
4709,-0.5367
6278,-0.0458
1291,0.2227
3625,-0.2462
5545,-0.4861
5101,-0.3482
3349,-0.1589
6485,0.056
6313,0.231
2711,-0.4718999999999999
1752,-0.4187
6115,-0.7515
1085,-0.2486
2724,-0.8771000000000001
6811,-1.3018
1596,-0.4424
1332,-0.4858
1482,-0.7416
2550,-0.0113
5171,-0.9436
4195,-0.682
4555,-0.1346
6107,-1.4008
2780,-0.2551
5873,-0.2985
220,-0.0025
6524,0.0093
6494,-0.7082
5303,-0.124
852,-0.8741
2749,-0.011
6235,0.0851
5099,-1.2845
393,-0.417
2611,0.0955
3810,-0.1362
2051,-0.2808
918,-0.1646
2466,-0.4469
2880,-0.6173
3888,-0.5856
2734,0.1685
3806,-1.2806
6321,-0.6786
5699,-0.7561
1379,-0.3472
1490,-1.3031
1630,-0.6439
3979,-0.3615
6662,-0.1003
5453,-0.2415999999999999
5161,-0.434
3228,-0.4772999999999999
6694,-0.6349
1113,-0.2951
1536,-0.3278
2174,-0.7294
2246,-0.4418
1853,-0.7428
5473,-0.296
4243,0.2244
2765,0.0671
2856,-0.2242
4221,-0.3997
3622,-0.4845
6248,-0.0856
1147,-0.4468
1129,-0.4038
3005,-0.0561
5234,-0.4452999999999999
1027,-1.003
4745,-0.3333
6048,-0.3392
1323,0.5455
878,-0.531
5012,-0.6897
5571,-0.3691
